follower,following,"(follower,following),"
116,565,"(116,565),"
680,469,"(680,469),"
870,497,"(870,497),"
852,717,"(852,717),"
242,521,"(242,521),"
641,844,"(641,844),"
560,637,"(560,637),"
591,445,"(591,445),"
609,900,"(609,900),"
100,760,"(100,760),"
220,465,"(220,465),"
99,552,"(99,552),"
880,845,"(880,845),"
436,726,"(436,726),"
486,624,"(486,624),"
573,992,"(573,992),"
621,745,"(621,745),"
739,517,"(739,517),"
681,575,"(681,575),"
945,541,"(945,541),"
121,566,"(121,566),"
541,506,"(541,506),"
131,582,"(131,582),"
186,458,"(186,458),"
897,888,"(897,888),"
178,461,"(178,461),"
653,579,"(653,579),"
389,582,"(389,582),"
301,769,"(301,769),"
229,789,"(229,789),"
919,759,"(919,759),"
666,478,"(666,478),"
939,773,"(939,773),"
826,726,"(826,726),"
111,572,"(111,572),"
654,587,"(654,587),"
990,753,"(990,753),"
885,709,"(885,709),"
401,583,"(401,583),"
880,675,"(880,675),"
634,866,"(634,866),"
800,614,"(800,614),"
868,546,"(868,546),"
78,708,"(78,708),"
867,590,"(867,590),"
378,644,"(378,644),"
348,693,"(348,693),"
299,627,"(299,627),"
785,474,"(785,474),"
103,537,"(103,537),"
483,605,"(483,605),"
923,785,"(923,785),"
636,635,"(636,635),"
128,605,"(128,605),"
269,583,"(269,583),"
514,446,"(514,446),"
824,741,"(824,741),"
301,606,"(301,606),"
848,466,"(848,466),"
156,726,"(156,726),"
46,458,"(46,458),"
548,744,"(548,744),"
988,779,"(988,779),"
234,771,"(234,771),"
673,461,"(673,461),"
340,578,"(340,578),"
586,900,"(586,900),"
941,681,"(941,681),"
366,767,"(366,767),"
169,705,"(169,705),"
723,612,"(723,612),"
559,783,"(559,783),"
635,489,"(635,489),"
743,453,"(743,453),"
560,478,"(560,478),"
638,477,"(638,477),"
500,986,"(500,986),"
836,717,"(836,717),"
469,433,"(469,433),"
32,497,"(32,497),"
722,671,"(722,671),"
37,759,"(37,759),"
75,482,"(75,482),"
858,608,"(858,608),"
418,643,"(418,643),"
614,647,"(614,647),"
830,461,"(830,461),"
414,454,"(414,454),"
892,671,"(892,671),"
123,490,"(123,490),"
595,473,"(595,473),"
66,759,"(66,759),"
708,510,"(708,510),"
70,458,"(70,458),"
441,720,"(441,720),"
864,552,"(864,552),"
384,889,"(384,889),"
198,537,"(198,537),"
671,542,"(671,542),"
190,437,"(190,437),"
163,517,"(163,517),"
789,866,"(789,866),"
685,485,"(685,485),"
763,581,"(763,581),"
381,541,"(381,541),"
289,787,"(289,787),"
949,537,"(949,537),"
535,565,"(535,565),"
80,623,"(80,623),"
252,793,"(252,793),"
167,771,"(167,771),"
697,450,"(697,450),"
982,712,"(982,712),"
196,887,"(196,887),"
666,781,"(666,781),"
995,801,"(995,801),"
287,790,"(287,790),"
6,602,"(6,602),"
4,547,"(4,547),"
215,509,"(215,509),"
957,694,"(957,694),"
993,727,"(993,727),"
951,880,"(951,880),"
868,462,"(868,462),"
578,477,"(578,477),"
122,783,"(122,783),"
926,582,"(926,582),"
835,628,"(835,628),"
403,731,"(403,731),"
98,562,"(98,562),"
943,781,"(943,781),"
739,768,"(739,768),"
218,584,"(218,584),"
303,772,"(303,772),"
366,469,"(366,469),"
578,709,"(578,709),"
175,743,"(175,743),"
614,787,"(614,787),"
392,579,"(392,579),"
431,582,"(431,582),"
600,521,"(600,521),"
323,506,"(323,506),"
880,787,"(880,787),"
7,709,"(7,709),"
529,697,"(529,697),"
865,866,"(865,866),"
699,998,"(699,998),"
429,992,"(429,992),"
243,725,"(243,725),"
352,466,"(352,466),"
789,986,"(789,986),"
588,789,"(588,789),"
517,449,"(517,449),"
123,783,"(123,783),"
219,779,"(219,779),"
784,577,"(784,577),"
782,759,"(782,759),"
847,514,"(847,514),"
245,725,"(245,725),"
518,700,"(518,700),"
165,769,"(165,769),"
429,782,"(429,782),"
87,751,"(87,751),"
571,450,"(571,450),"
394,998,"(394,998),"
729,712,"(729,712),"
889,486,"(889,486),"
988,572,"(988,572),"
83,643,"(83,643),"
233,565,"(233,565),"
112,627,"(112,627),"
715,725,"(715,725),"
214,647,"(214,647),"
13,547,"(13,547),"
726,584,"(726,584),"
513,900,"(513,900),"
610,551,"(610,551),"
962,542,"(962,542),"
657,745,"(657,745),"
393,745,"(393,745),"
816,609,"(816,609),"
112,522,"(112,522),"
491,756,"(491,756),"
