user_id,search_prompt,search_date,"(user_id, ""search_prompt"",  ""search_date""),"
39,network,1/5/2023,"(39, ""network"",  ""2023-01-05""),"
58,cartoonnetwork,10/18/2023,"(58, ""cartoonnetwork"",  ""2023-10-18""),"
83,paper,11/22/2023,"(83, ""paper"",  ""2023-11-22""),"
29,grass,1/28/2023,"(29, ""grass"",  ""2023-01-28""),"
98,network,6/19/2023,"(98, ""network"",  ""2023-06-19""),"
83,diamond,1/16/2023,"(83, ""diamond"",  ""2023-01-16""),"
105,error,7/29/2023,"(105, ""error"",  ""2023-07-29""),"
113,star,9/17/2023,"(113, ""star"",  ""2023-09-17""),"
31,traditional,11/29/2023,"(31, ""traditional"",  ""2023-11-29""),"
108,network,2/6/2023,"(108, ""network"",  ""2023-02-06""),"
99,motivation,5/28/2023,"(99, ""motivation"",  ""2023-05-28""),"
103,cartoonnetwork,9/18/2023,"(103, ""cartoonnetwork"",  ""2023-09-18""),"
59,pillow,5/16/2023,"(59, ""pillow"",  ""2023-05-16""),"
140,error,4/18/2023,"(140, ""error"",  ""2023-04-18""),"
124,wings,2/15/2023,"(124, ""wings"",  ""2023-02-15""),"
109,diamond,9/24/2023,"(109, ""diamond"",  ""2023-09-24""),"
10,pet,10/21/2023,"(10, ""pet"",  ""2023-10-21""),"
27,stars,1/28/2023,"(27, ""stars"",  ""2023-01-28""),"
138,run,4/15/2023,"(138, ""run"",  ""2023-04-15""),"
104,network,2/24/2023,"(104, ""network"",  ""2023-02-24""),"
107,stars,6/27/2023,"(107, ""stars"",  ""2023-06-27""),"
13,shinny,2/12/2023,"(13, ""shinny"",  ""2023-02-12""),"
139,calcifer,9/7/2023,"(139, ""calcifer"",  ""2023-09-07""),"
111,Japan,5/16/2023,"(111, ""Japan"",  ""2023-05-16""),"
107,sunny,6/1/2023,"(107, ""sunny"",  ""2023-06-01""),"
110,sea,3/25/2023,"(110, ""sea"",  ""2023-03-25""),"
115,shooting,9/30/2023,"(115, ""shooting"",  ""2023-09-30""),"
56,liberty,10/14/2023,"(56, ""liberty"",  ""2023-10-14""),"
104,Japan,7/28/2023,"(104, ""Japan"",  ""2023-07-28""),"
78,blanket,1/24/2023,"(78, ""blanket"",  ""2023-01-24""),"
4,sunny,6/7/2023,"(4, ""sunny"",  ""2023-06-07""),"
6,Japan,10/28/2023,"(6, ""Japan"",  ""2023-10-28""),"
12,pawn,11/21/2023,"(12, ""pawn"",  ""2023-11-21""),"
23,sea,11/24/2023,"(23, ""sea"",  ""2023-11-24""),"
13,chess,6/26/2023,"(13, ""chess"",  ""2023-06-26""),"
100,liberty,2/10/2023,"(100, ""liberty"",  ""2023-02-10""),"
149,fruits,4/27/2023,"(149, ""fruits"",  ""2023-04-27""),"
76,traditional,9/5/2023,"(76, ""traditional"",  ""2023-09-05""),"
82,network,10/5/2023,"(82, ""network"",  ""2023-10-05""),"
119,freedom,10/10/2023,"(119, ""freedom"",  ""2023-10-10""),"
90,artistic,7/21/2023,"(90, ""artistic"",  ""2023-07-21""),"
145,fruit,9/26/2023,"(145, ""fruit"",  ""2023-09-26""),"
137,liberty,3/15/2023,"(137, ""liberty"",  ""2023-03-15""),"
138,run,5/10/2023,"(138, ""run"",  ""2023-05-10""),"
145,koala,11/5/2023,"(145, ""koala"",  ""2023-11-05""),"
142,motivate,7/15/2023,"(142, ""motivate"",  ""2023-07-15""),"
115,artistic,10/31/2023,"(115, ""artistic"",  ""2023-10-31""),"
69,run,7/20/2023,"(69, ""run"",  ""2023-07-20""),"
74,landscape,10/12/2023,"(74, ""landscape"",  ""2023-10-12""),"
149,,11/2/2023,"(149, """",  ""2023-11-02""),"
15,cartoonnetwork,7/24/2023,"(15, ""cartoonnetwork"",  ""2023-07-24""),"
98,motivation,3/1/2023,"(98, ""motivation"",  ""2023-03-01""),"
51,motivation,11/8/2023,"(51, ""motivation"",  ""2023-11-08""),"
140,game,6/22/2023,"(140, ""game"",  ""2023-06-22""),"
69,vangogh,1/26/2023,"(69, ""vangogh"",  ""2023-01-26""),"
136,Japan,3/21/2023,"(136, ""Japan"",  ""2023-03-21""),"
5,anime,7/2/2023,"(5, ""anime"",  ""2023-07-02""),"
12,bemo,10/25/2023,"(12, ""bemo"",  ""2023-10-25""),"
141,fruit,9/26/2023,"(141, ""fruit"",  ""2023-09-26""),"
130,sun,10/18/2023,"(130, ""sun"",  ""2023-10-18""),"
123,wings,8/5/2023,"(123, ""wings"",  ""2023-08-05""),"
142,chess,2/9/2023,"(142, ""chess"",  ""2023-02-09""),"
43,landscape,10/13/2023,"(43, ""landscape"",  ""2023-10-13""),"
58,shinny,6/15/2023,"(58, ""shinny"",  ""2023-06-15""),"
121,traditional,10/23/2023,"(121, ""traditional"",  ""2023-10-23""),"
129,network,11/14/2023,"(129, ""network"",  ""2023-11-14""),"
66,paper,2/23/2023,"(66, ""paper"",  ""2023-02-23""),"
109,fairy,8/8/2023,"(109, ""fairy"",  ""2023-08-08""),"
132,laptop,2/2/2023,"(132, ""laptop"",  ""2023-02-02""),"
89,bemo,3/22/2023,"(89, ""bemo"",  ""2023-03-22""),"
109,paper,9/19/2023,"(109, ""paper"",  ""2023-09-19""),"
54,kids,11/25/2023,"(54, ""kids"",  ""2023-11-25""),"
120,web,5/6/2023,"(120, ""web"",  ""2023-05-06""),"
101,fight,12/3/2023,"(101, ""fight"",  ""2023-12-03""),"
117,chess,8/13/2023,"(117, ""chess"",  ""2023-08-13""),"
17,fruit,7/11/2023,"(17, ""fruit"",  ""2023-07-11""),"
37,,1/30/2023,"(37, """",  ""2023-01-30""),"
76,blanket,9/21/2023,"(76, ""blanket"",  ""2023-09-21""),"
71,fairy,5/2/2023,"(71, ""fairy"",  ""2023-05-02""),"
140,koala,2/5/2023,"(140, ""koala"",  ""2023-02-05""),"
69,pet,8/27/2023,"(69, ""pet"",  ""2023-08-27""),"
71,,3/31/2023,"(71, """",  ""2023-03-31""),"
143,cartoon,1/18/2023,"(143, ""cartoon"",  ""2023-01-18""),"
5,vinland,9/7/2023,"(5, ""vinland"",  ""2023-09-07""),"
94,cartoons,8/26/2023,"(94, ""cartoons"",  ""2023-08-26""),"
77,artistic,8/13/2023,"(77, ""artistic"",  ""2023-08-13""),"
22,pillow,8/6/2023,"(22, ""pillow"",  ""2023-08-06""),"
112,error,11/2/2023,"(112, ""error"",  ""2023-11-02""),"
5,internet,9/21/2023,"(5, ""internet"",  ""2023-09-21""),"
82,landscape,11/18/2023,"(82, ""landscape"",  ""2023-11-18""),"
14,vangogh,4/25/2023,"(14, ""vangogh"",  ""2023-04-25""),"
92,traditional,11/13/2023,"(92, ""traditional"",  ""2023-11-13""),"
63,landscape,5/10/2023,"(63, ""landscape"",  ""2023-05-10""),"
88,nickelodeon,2/5/2023,"(88, ""nickelodeon"",  ""2023-02-05""),"
5,art,6/5/2023,"(5, ""art"",  ""2023-06-05""),"
28,motivation,6/10/2023,"(28, ""motivation"",  ""2023-06-10""),"
150,art,2/26/2023,"(150, ""art"",  ""2023-02-26""),"
63,cartoons,7/20/2023,"(63, ""cartoons"",  ""2023-07-20""),"
88,blanket,4/9/2023,"(88, ""blanket"",  ""2023-04-09""),"
86,fight,9/10/2023,"(86, ""fight"",  ""2023-09-10""),"
3,fight,11/29/2023,"(3, ""fight"",  ""2023-11-29""),"
64,liberty,8/5/2023,"(64, ""liberty"",  ""2023-08-05""),"
140,fruit,3/11/2023,"(140, ""fruit"",  ""2023-03-11""),"
68,pillow,1/27/2023,"(68, ""pillow"",  ""2023-01-27""),"
69,insect,1/25/2023,"(69, ""insect"",  ""2023-01-25""),"
34,offline,5/24/2023,"(34, ""offline"",  ""2023-05-24""),"
96,branch,7/10/2023,"(96, ""branch"",  ""2023-07-10""),"
55,kids,2/17/2023,"(55, ""kids"",  ""2023-02-17""),"
128,web,10/1/2023,"(128, ""web"",  ""2023-10-01""),"
30,error,11/3/2023,"(30, ""error"",  ""2023-11-03""),"
107,insect,2/19/2023,"(107, ""insect"",  ""2023-02-19""),"
147,earth,9/28/2023,"(147, ""earth"",  ""2023-09-28""),"
149,star,3/15/2023,"(149, ""star"",  ""2023-03-15""),"
120,ink,1/18/2023,"(120, ""ink"",  ""2023-01-18""),"
127,internet,6/13/2023,"(127, ""internet"",  ""2023-06-13""),"
142,working,4/18/2023,"(142, ""working"",  ""2023-04-18""),"
26,shooting,7/30/2023,"(26, ""shooting"",  ""2023-07-30""),"
39,nickelodeon,1/31/2023,"(39, ""nickelodeon"",  ""2023-01-31""),"
51,anime,2/4/2023,"(51, ""anime"",  ""2023-02-04""),"
55,fruits,4/3/2023,"(55, ""fruits"",  ""2023-04-03""),"
135,sun,4/20/2023,"(135, ""sun"",  ""2023-04-20""),"
53,nickelodeon,3/14/2023,"(53, ""nickelodeon"",  ""2023-03-14""),"
138,blanket,10/13/2023,"(138, ""blanket"",  ""2023-10-13""),"
114,error,1/24/2023,"(114, ""error"",  ""2023-01-24""),"
149,grass,2/3/2023,"(149, ""grass"",  ""2023-02-03""),"
99,bemo,3/2/2023,"(99, ""bemo"",  ""2023-03-02""),"
50,internet,10/10/2023,"(50, ""internet"",  ""2023-10-10""),"
120,alien,3/21/2023,"(120, ""alien"",  ""2023-03-21""),"
121,sun,10/20/2023,"(121, ""sun"",  ""2023-10-20""),"
96,shinny,10/19/2023,"(96, ""shinny"",  ""2023-10-19""),"
104,sea,1/9/2023,"(104, ""sea"",  ""2023-01-09""),"
75,alien,5/19/2023,"(75, ""alien"",  ""2023-05-19""),"
75,chess,12/5/2023,"(75, ""chess"",  ""2023-12-05""),"
20,kids,8/23/2023,"(20, ""kids"",  ""2023-08-23""),"
83,grass,9/4/2023,"(83, ""grass"",  ""2023-09-04""),"
111,offline,3/28/2023,"(111, ""offline"",  ""2023-03-28""),"
106,artistic,10/1/2023,"(106, ""artistic"",  ""2023-10-01""),"
